# t [s], pressure [Bar], voltage [V]
4.031774720000000478e+00,0.000000000000000000e+00,2.500000000000000052e-03
4.032036864000000165e+00,0.000000000000000000e+00,2.500000000000000052e-03
4.032299007999999851e+00,0.000000000000000000e+00,2.500000000000000052e-03
4.032561152000000426e+00,0.000000000000000000e+00,2.500000000000000052e-03
4.032823296000000113e+00,-3.499999999999999964e-04,2.500000000000000052e-03
4.033085440000000688e+00,-3.499999999999999964e-04,2.500000000000000052e-03
4.033347584000000374e+00,0.000000000000000000e+00,2.500000000000000052e-03
4.033609728000000061e+00,-3.499999999999999964e-04,5.000000000000000104e-03
4.033871872000000636e+00,-3.499999999999999964e-04,5.000000000000000104e-03
4.034134016000000322e+00,-3.499999999999999964e-04,2.500000000000000052e-03
4.034396160000000009e+00,-3.499999999999999964e-04,5.000000000000000104e-03
4.034658304000000584e+00,0.000000000000000000e+00,5.000000000000000104e-03
4.034920448000000270e+00,-3.499999999999999964e-04,2.500000000000000052e-03
4.035182591999999957e+00,-3.499999999999999964e-04,5.000000000000000104e-03
4.035444736000000532e+00,-3.499999999999999964e-04,5.000000000000000104e-03
4.035706880000000218e+00,-3.499999999999999964e-04,5.000000000000000104e-03
4.035969023999999905e+00,-3.499999999999999964e-04,5.000000000000000104e-03
4.036231168000000480e+00,-3.499999999999999964e-04,5.000000000000000104e-03
4.036493312000000167e+00,-3.499999999999999964e-04,5.000000000000000104e-03
4.036755455999999853e+00,-3.499999999999999964e-04,5.000000000000000104e-03
4.037017600000000428e+00,0.000000000000000000e+00,2.500000000000000052e-03
4.037279744000000115e+00,0.000000000000000000e+00,5.000000000000000104e-03
4.037541888000000689e+00,-3.499999999999999964e-04,5.000000000000000104e-03
4.037804032000000376e+00,-3.499999999999999964e-04,2.500000000000000052e-03
4.038066176000000063e+00,0.000000000000000000e+00,2.500000000000000052e-03
4.038328320000000637e+00,0.000000000000000000e+00,5.000000000000000104e-03
4.038590464000000324e+00,-3.499999999999999964e-04,5.000000000000000104e-03
4.038852608000000011e+00,0.000000000000000000e+00,2.500000000000000052e-03
4.039114752000000585e+00,0.000000000000000000e+00,5.000000000000000104e-03
4.039376896000000272e+00,0.000000000000000000e+00,5.000000000000000104e-03
4.039639039999999959e+00,0.000000000000000000e+00,5.000000000000000104e-03
4.039901184000000534e+00,0.000000000000000000e+00,2.500000000000000052e-03
4.040163328000000220e+00,0.000000000000000000e+00,2.500000000000000052e-03
4.040425471999999907e+00,0.000000000000000000e+00,5.000000000000000104e-03
4.040687616000000482e+00,-3.499999999999999964e-04,5.000000000000000104e-03
4.040949760000000168e+00,-3.499999999999999964e-04,5.000000000000000104e-03
4.041211903999999855e+00,-3.499999999999999964e-04,2.500000000000000052e-03
4.041474048000000430e+00,0.000000000000000000e+00,5.000000000000000104e-03
4.041736192000000116e+00,0.000000000000000000e+00,5.000000000000000104e-03
4.041998336000000691e+00,0.000000000000000000e+00,5.000000000000000104e-03
4.042260480000000378e+00,0.000000000000000000e+00,5.000000000000000104e-03
4.042522624000000064e+00,0.000000000000000000e+00,5.000000000000000104e-03
4.042784768000000639e+00,0.000000000000000000e+00,2.500000000000000052e-03
4.043046912000000326e+00,0.000000000000000000e+00,2.500000000000000052e-03
4.043309056000000012e+00,0.000000000000000000e+00,2.500000000000000052e-03
4.043571200000000587e+00,0.000000000000000000e+00,5.000000000000000104e-03
4.043833344000000274e+00,0.000000000000000000e+00,2.500000000000000052e-03
4.044095487999999960e+00,-3.499999999999999964e-04,5.000000000000000104e-03
4.044357632000000535e+00,0.000000000000000000e+00,5.000000000000000104e-03
4.044619776000000222e+00,0.000000000000000000e+00,5.000000000000000104e-03
4.044881919999999909e+00,-3.499999999999999964e-04,5.000000000000000104e-03
4.045144064000000483e+00,-3.499999999999999964e-04,2.500000000000000052e-03
4.045406208000000170e+00,-3.499999999999999964e-04,5.000000000000000104e-03
4.045668351999999857e+00,-3.499999999999999964e-04,5.000000000000000104e-03
4.045930496000000431e+00,-3.499999999999999964e-04,5.000000000000000104e-03
4.046192640000000118e+00,-3.499999999999999964e-04,5.000000000000000104e-03
4.046454784000000693e+00,0.000000000000000000e+00,5.000000000000000104e-03
4.046716928000000379e+00,0.000000000000000000e+00,5.000000000000000104e-03
4.046979072000000066e+00,0.000000000000000000e+00,5.000000000000000104e-03
4.047241216000000641e+00,0.000000000000000000e+00,5.000000000000000104e-03
4.047503360000000328e+00,-3.499999999999999964e-04,5.000000000000000104e-03
4.047765504000000014e+00,0.000000000000000000e+00,2.500000000000000052e-03
4.048027648000000589e+00,0.000000000000000000e+00,2.500000000000000052e-03
4.048289792000000276e+00,0.000000000000000000e+00,5.000000000000000104e-03
4.048551935999999962e+00,-3.499999999999999964e-04,2.500000000000000052e-03
4.048814080000000537e+00,0.000000000000000000e+00,5.000000000000000104e-03
4.049076224000000224e+00,0.000000000000000000e+00,5.000000000000000104e-03
4.049338367999999910e+00,0.000000000000000000e+00,5.000000000000000104e-03
4.049600512000000485e+00,-3.499999999999999964e-04,2.500000000000000052e-03
4.049862656000000172e+00,-3.499999999999999964e-04,5.000000000000000104e-03
4.050124799999999858e+00,0.000000000000000000e+00,5.000000000000000104e-03
4.050386944000000433e+00,0.000000000000000000e+00,5.000000000000000104e-03
4.050649088000000120e+00,0.000000000000000000e+00,5.000000000000000104e-03
4.050911232000000695e+00,0.000000000000000000e+00,5.000000000000000104e-03
4.051173376000000381e+00,0.000000000000000000e+00,2.500000000000000052e-03
4.051435520000000068e+00,-3.499999999999999964e-04,5.000000000000000104e-03
4.051697664000000643e+00,-3.499999999999999964e-04,2.500000000000000052e-03
4.051959808000000329e+00,0.000000000000000000e+00,5.000000000000000104e-03
4.052221952000000016e+00,0.000000000000000000e+00,5.000000000000000104e-03
4.052484096000000591e+00,3.499999999999999964e-04,5.000000000000000104e-03
4.052746240000000277e+00,0.000000000000000000e+00,2.500000000000000052e-03
4.053008383999999964e+00,3.499999999999999964e-04,5.000000000000000104e-03
4.053270528000000539e+00,0.000000000000000000e+00,5.000000000000000104e-03
4.053532672000000225e+00,0.000000000000000000e+00,5.000000000000000104e-03
4.053794815999999912e+00,0.000000000000000000e+00,5.000000000000000104e-03
4.054056960000000487e+00,0.000000000000000000e+00,2.500000000000000052e-03
4.054319104000000173e+00,0.000000000000000000e+00,2.500000000000000052e-03
4.054581247999999860e+00,0.000000000000000000e+00,2.500000000000000052e-03
4.054843392000000435e+00,0.000000000000000000e+00,5.000000000000000104e-03
4.055105536000000122e+00,0.000000000000000000e+00,5.000000000000000104e-03
4.055367680000000696e+00,0.000000000000000000e+00,2.500000000000000052e-03
4.055629824000000383e+00,0.000000000000000000e+00,5.000000000000000104e-03
4.055891968000000070e+00,3.499999999999999964e-04,5.000000000000000104e-03
4.056154112000000644e+00,3.499999999999999964e-04,5.000000000000000104e-03
4.056416256000000331e+00,0.000000000000000000e+00,5.000000000000000104e-03
4.056678400000000018e+00,0.000000000000000000e+00,5.000000000000000104e-03
4.056940544000000592e+00,0.000000000000000000e+00,5.000000000000000104e-03
4.057202688000000279e+00,3.499999999999999964e-04,2.500000000000000052e-03
4.057464831999999966e+00,0.000000000000000000e+00,5.000000000000000104e-03
4.057726976000000541e+00,0.000000000000000000e+00,5.000000000000000104e-03
4.057989120000000227e+00,0.000000000000000000e+00,5.000000000000000104e-03
4.058251263999999914e+00,0.000000000000000000e+00,5.000000000000000104e-03
4.058513408000000489e+00,0.000000000000000000e+00,5.000000000000000104e-03
4.058775552000000175e+00,0.000000000000000000e+00,5.000000000000000104e-03
4.059037695999999862e+00,0.000000000000000000e+00,5.000000000000000104e-03
4.059299840000000437e+00,0.000000000000000000e+00,5.000000000000000104e-03
