# t [s], pressure [Bar], voltage [V]
5.699010560000000725e-01,1.413999999999999979e-01,4.324999999999999956e-01
5.699665919999999941e-01,1.431499999999999717e-01,4.324999999999999956e-01
5.700321280000000268e-01,1.445499999999999841e-01,4.349999999999999978e-01
5.700976640000000595e-01,1.455999999999999794e-01,4.349999999999999978e-01
5.701631999999999811e-01,1.462999999999999856e-01,4.375000000000000000e-01
5.702287360000000138e-01,1.473499999999999810e-01,4.400000000000000022e-01
5.702942720000000465e-01,1.473499999999999810e-01,4.450000000000000067e-01
5.703598080000000792e-01,1.476999999999999702e-01,4.500000000000000111e-01
5.704253440000000008e-01,1.484000000000000041e-01,4.525000000000000133e-01
5.704908800000000335e-01,1.484000000000000041e-01,4.575000000000000178e-01
5.705564160000000662e-01,1.487499999999999933e-01,4.575000000000000178e-01
5.706219519999999878e-01,1.431499999999999717e-01,4.600000000000000200e-01
5.706874880000000205e-01,1.312499999999999778e-01,4.600000000000000200e-01
5.707530240000000532e-01,1.301999999999999824e-01,4.600000000000000200e-01
5.708185600000000859e-01,1.326499999999999901e-01,4.625000000000000222e-01
5.708840960000000075e-01,1.343999999999999917e-01,4.675000000000000266e-01
5.709496320000000402e-01,1.361499999999999932e-01,4.699999999999999734e-01
5.710151680000000729e-01,1.375499999999999778e-01,4.724999999999999756e-01
5.710807039999999946e-01,1.385999999999999732e-01,4.724999999999999756e-01
5.711462400000000272e-01,1.392999999999999794e-01,4.724999999999999756e-01
5.712117760000000599e-01,1.403499999999999748e-01,4.724999999999999756e-01
5.712773119999999816e-01,1.406999999999999640e-01,4.675000000000000266e-01
5.713428480000000143e-01,1.406999999999999640e-01,4.650000000000000244e-01
5.714083840000000469e-01,1.413999999999999979e-01,4.600000000000000200e-01
5.714739200000000796e-01,1.413999999999999979e-01,4.550000000000000155e-01
5.715394560000000013e-01,1.396499999999999964e-01,4.475000000000000089e-01
5.716049920000000339e-01,1.298499999999999932e-01,4.425000000000000044e-01
5.716705280000000666e-01,1.277499999999999747e-01,4.349999999999999978e-01
5.717360639999999883e-01,1.295000000000000040e-01,4.249999999999999889e-01
5.718016000000000210e-01,1.308999999999999886e-01,4.174999999999999822e-01
5.718671360000000536e-01,1.322999999999999732e-01,4.074999999999999734e-01
5.719326720000000863e-01,1.333499999999999963e-01,3.950000000000000178e-01
5.719982080000000080e-01,1.340500000000000025e-01,3.800000000000000044e-01
5.720637440000000407e-01,1.347499999999999809e-01,3.624999999999999889e-01
5.721292800000000733e-01,1.350999999999999701e-01,3.425000000000000266e-01
5.721948159999999950e-01,1.357999999999999763e-01,3.074999999999999956e-01
5.722603520000000277e-01,1.357999999999999763e-01,2.424999999999999933e-01
5.723258880000000604e-01,1.357999999999999763e-01,2.575000000000000067e-01
5.723914239999999820e-01,1.361499999999999932e-01,2.124999999999999944e-01
5.724569600000000147e-01,1.357999999999999763e-01,1.774999999999999911e-01
5.725224960000000474e-01,1.266999999999999793e-01,1.749999999999999889e-01
5.725880320000000800e-01,1.228499999999999731e-01,1.625000000000000056e-01
5.726535680000000017e-01,1.235499999999999793e-01,1.625000000000000056e-01
5.727191040000000344e-01,1.252999999999999947e-01,1.424999999999999878e-01
5.727846400000000671e-01,1.266999999999999793e-01,1.224999999999999978e-01
5.728501759999999887e-01,1.277499999999999747e-01,9.249999999999999889e-02
5.729157120000000214e-01,1.287999999999999978e-01,7.000000000000000666e-02
5.729812480000000541e-01,1.291499999999999870e-01,3.749999999999999861e-02
5.730467840000000868e-01,1.298499999999999932e-01,2.000000000000000042e-02
5.731123200000000084e-01,1.298499999999999932e-01,7.499999999999999722e-03
5.731778560000000411e-01,1.301999999999999824e-01,5.000000000000000104e-03
5.732433920000000738e-01,1.301999999999999824e-01,0.000000000000000000e+00
5.733089279999999954e-01,1.301999999999999824e-01,-7.499999999999999722e-03
5.733744640000000281e-01,1.308999999999999886e-01,-2.249999999999999917e-02
5.734400000000000608e-01,1.193499999999999978e-01,-3.749999999999999861e-02
5.735055359999999824e-01,1.084999999999999853e-01,-5.500000000000000028e-02
5.735710720000000151e-01,1.084999999999999853e-01,-7.000000000000000666e-02
5.736366080000000478e-01,1.109499999999999792e-01,-7.249999999999999500e-02
5.737021440000000805e-01,1.130499999999999838e-01,-7.249999999999999500e-02
5.737676800000000021e-01,1.151499999999999885e-01,-8.250000000000000389e-02
5.738332160000000348e-01,1.165499999999999869e-01,-8.250000000000000389e-02
5.738987520000000675e-01,1.175999999999999823e-01,-9.249999999999999889e-02
5.739642879999999892e-01,1.186499999999999916e-01,-1.000000000000000056e-01
5.740298240000000218e-01,1.196999999999999870e-01,-1.074999999999999983e-01
5.740953600000000545e-01,1.200499999999999901e-01,-1.125000000000000028e-01
5.741608960000000872e-01,1.203999999999999793e-01,-1.150000000000000050e-01
5.742264320000000088e-01,1.203999999999999793e-01,-1.199999999999999956e-01
5.742919680000000415e-01,1.210999999999999854e-01,-1.275000000000000022e-01
5.743575040000000742e-01,1.123499999999999915e-01,-1.300000000000000044e-01
5.744230399999999959e-01,9.274999999999998523e-02,-1.325000000000000067e-01
5.744885760000000285e-01,9.064999999999998059e-02,-1.350000000000000089e-01
5.745541120000000612e-01,9.344999999999999141e-02,-1.350000000000000089e-01
5.746196479999999829e-01,9.624999999999998834e-02,-1.400000000000000133e-01
5.746851840000000156e-01,9.904999999999999916e-02,-1.400000000000000133e-01
